timestamp,ax,ay,az,gx,gy,gz,Label1,Label2,Label3
6.17E+02,-6873,878,-4210,1354,489,-421,1,7,11
6.10E+02,-7199,823,-3974,983,474,-640,1,7,11
6.04E+02,-7091,802,-4191,1147,461,-599,1,7,11
5.98E+02,-7512,788,-4110,1103,639,-240,1,7,11
5.92E+02,-7552,793,-3801,1127,209,-322,1,7,11
5.85E+02,-7447,773,-4102,901,260,96,1,7,11
5.76E+02,-7276,412,-4179,1112,-126,-118,1,7,11
5.67E+02,-7193,560,-4214,1036,104,49,1,7,11
5.58E+02,-6903,220,-4000,728,98,-346,1,7,11
5.52E+02,-7185,184,-4045,692,91,-221,1,7,11
5.51E+02,-7223,134,-4058,659,37,-515,1,7,11
5.54E+02,-7216,322,-4075,658,-342,-198,1,7,11
5.60E+02,-6911,262,-4359,672,-217,-335,1,7,11
5.65E+02,-6835,-50,-4371,684,-591,74,1,7,11
5.69E+02,-6995,-98,-4371,677,-420,-33,1,7,11
5.73E+02,-6968,-119,-4082,651,-421,350,1,7,11
5.79E+02,-6957,-128,-4038,877,-409,239,1,7,11
5.88E+02,-6920,113,-4010,853,-391,629,1,7,11
5.94E+02,-6634,-117,-3990,843,-602,471,1,7,11
5.89E+02,-6654,-77,-3971,816,-529,790,1,7,11
5.77E+02,-6951,-13,-3971,799,-209,846,1,7,11
5.69E+02,-7027,326,-4215,769,-134,879,1,7,11
5.71E+02,-6854,173,-4192,495,-345,674,1,7,11
5.75E+02,-7171,514,-4167,468,-334,724,1,7,11
5.78E+02,-7203,611,-4156,457,-336,1025,1,7,11
5.77E+02,-7197,426,-4141,424,-342,1045,1,7,11
5.72E+02,-6886,486,-4145,632,-336,761,1,7,11
5.66E+02,-6838,806,-4146,577,-300,677,1,7,11
5.58E+02,-6791,846,-4138,219,10,806,1,7,11
5.52E+02,-7023,830,-4110,337,64,386,1,7,11
5.48E+02,-6988,795,-3831,-44,112,194,1,7,11
5.48E+02,-7003,783,-3808,116,-82,-4,1,7,11
5.47E+02,-6995,781,-3798,35,-32,106,1,7,11
5.41E+02,-6989,501,-3812,-316,295,-266,1,7,11
5.35E+02,-6997,441,-3805,-157,131,-343,1,7,11
5.34E+02,-7014,620,-3802,-214,208,-137,1,7,11
5.36E+02,-7038,545,-3796,-224,519,-176,1,7,11
5.38E+02,-6798,210,-3790,-207,548,-206,1,7,11
5.40E+02,-6803,142,-3797,-151,554,-223,1,7,11
5.44E+02,-7036,341,-3817,-342,554,-234,1,7,11
5.52E+02,-7024,294,-4098,-289,583,-248,1,7,11
5.64E+02,-7018,266,-4125,2,623,-255,1,7,11
5.79E+02,-7000,-10,-4147,15,404,-518,1,7,11
5.96E+02,-6984,-6,-4178,13,437,-532,1,7,11
6.10E+02,-6976,272,-4203,-281,468,-548,1,7,11
6.20E+02,-6983,283,-3972,-357,498,-563,1,7,11
6.25E+02,-6987,276,-3986,-204,774,-574,1,7,11
6.22E+02,-6967,258,-4022,-537,505,-572,1,7,11
6.11E+02,-6645,284,-4086,-569,465,-554,1,7,11
5.94E+02,-6594,308,-4397,-631,448,-527,1,7,11
5.81E+02,-6924,325,-4393,-427,463,-226,1,7,11
5.80E+02,-6994,350,-4378,-441,396,-362,1,7,11
5.88E+02,-6956,355,-4405,-451,530,21,1,7,11
5.94E+02,-6940,368,-4432,-471,210,95,1,7,11
5.92E+02,-6967,128,-4433,-507,190,-81,1,7,11
5.91E+02,-6978,144,-4437,-795,186,266,1,7,11
5.95E+02,-7019,177,-4427,-806,206,353,1,7,11
6.00E+02,-6816,214,-4413,-790,209,199,1,7,11
5.99E+02,-6827,246,-4402,-489,162,557,1,7,11
5.91E+02,-7034,537,-4424,-423,349,638,1,7,11
5.81E+02,-6974,566,-4437,-623,302,418,1,7,11
5.73E+02,-6933,598,-4441,-577,276,412,1,7,11
5.67E+02,-6654,384,-4432,-529,-11,636,1,7,11
5.67E+02,-6646,431,-4429,-233,-44,587,1,7,11
5.68E+02,-6643,467,-4435,-219,-76,540,1,7,11
5.69E+02,-6928,498,-4436,-221,-86,233,1,7,11
5.69E+02,-6957,788,-4441,-238,-97,208,1,7,11
5.72E+02,-6953,813,-4439,-253,-116,192,1,7,11
5.78E+02,-6933,836,-4457,-533,-121,173,1,7,11
5.88E+02,-6927,850,-4453,-575,-107,154,1,7,11
5.99E+02,-6925,849,-4453,-623,-90,130,1,7,11
6.03E+02,-6929,850,-4448,-414,-71,362,1,7,11
5.89E+02,-6930,848,-4425,-462,-60,339,1,7,11
5.66E+02,-6915,851,-4412,-506,-49,317,1,7,11
5.53E+02,-6647,858,-4395,-797,-32,300,1,7,11
5.56E+02,-6642,863,-4372,-831,-13,300,1,7,11
5.62E+02,-6634,875,-4354,-851,261,306,1,7,11
5.66E+02,-6632,891,-4093,-855,276,317,1,7,11
5.66E+02,-6631,655,-4082,-851,292,323,1,7,11
5.64E+02,-6647,674,-4061,-846,295,325,1,7,11
5.64E+02,-6926,677,-4048,-837,277,314,1,7,11
5.66E+02,-6964,685,-4013,-811,-8,291,1,7,11
5.72E+02,-6938,693,-4017,-497,-115,277,1,7,11
5.77E+02,-6592,706,-4063,-460,75,262,1,7,11
5.80E+02,-6755,724,-4379,-445,79,-23,1,7,11
5.80E+02,-6709,737,-4410,-458,-101,-52,1,7,11
5.75E+02,-6714,759,-4418,-474,272,-71,1,7,11
5.71E+02,-6765,1032,-4413,-483,129,-73,1,7,11
5.68E+02,-6569,1063,-4416,-468,208,-57,1,7,11
5.68E+02,-6629,1103,-4412,-433,245,-25,1,7,11
5.65E+02,-6940,1129,-4401,-387,237,271,1,7,11
5.60E+02,-6964,906,-4393,-590,181,318,1,7,11
5.54E+02,-6958,928,-4396,-543,351,353,1,7,11
5.47E+02,-6928,939,-4415,-247,-7,367,1,7,11
5.43E+02,-6598,961,-4447,-219,-112,372,1,7,11
5.41E+02,-6753,973,-4247,-218,72,355,1,7,11
5.41E+02,-6685,988,-4291,-253,75,323,1,7,11
5.40E+02,-6673,985,-4299,-557,-125,298,1,7,11
5.42E+02,-6683,982,-4286,-605,-64,286,1,7,11
5.49E+02,-6719,971,-4267,-638,-7,280,1,7,11
5.58E+02,-6771,967,-4238,-393,282,285,1,7,11
5.66E+02,-6549,975,-4475,-636,277,298,1,7,11
5.72E+02,-6586,988,-4449,-612,258,310,1,7,11
5.81E+02,-6607,991,-4445,-584,-53,331,1,7,11
5.95E+02,-6608,991,-4455,-548,-118,336,1,7,11
6.05E+02,-6601,993,-4458,-513,77,327,1,7,11
6.06E+02,-6556,1005,-4229,-210,18,314,1,7,11
6.01E+02,-6745,1285,-4250,-171,-276,305,1,7,11
6.00E+02,-6697,1307,-4258,-145,-273,295,1,7,11
6.06E+02,-6679,1323,-4256,-131,13,298,1,7,11
6.20E+02,-6691,1320,-4242,-377,57,314,1,7,11
6.39E+02,-6711,1337,-4474,-349,83,336,1,7,11
6.61E+02,-6721,1352,-4470,-315,100,352,1,7,11
6.81E+02,-6762,1371,-4462,-286,119,364,1,7,11
7.00E+02,-6551,1395,-4458,-260,116,129,1,7,11
7.17E+02,-6562,1172,-4453,15,92,147,1,7,11
