timestamp,ax,ay,az,gx,gy,gz,Label1,Label2,Label3
9.97E+02,-6823,410,-3139,3827,-179,1932,1,7,11
9.92E+02,-6931,829,-3063,4931,-366,2620,1,7,11
1.00E+03,-6669,1188,-3679,5318,48,2730,1,7,11
1.03E+03,-6452,1745,-3928,5563,-6,3228,1,7,11
1.05E+03,-6433,2289,-3816,5479,475,3353,1,7,11
1.08E+03,-6708,2754,-3840,4549,730,2936,1,7,11
1.10E+03,-6974,3035,-3813,2616,660,2293,1,7,11
1.11E+03,-6818,3367,-3742,1082,589,2161,1,7,11
1.09E+03,-6808,3002,-3924,-410,-31,1496,1,7,11
1.06E+03,-6947,2770,-3574,-1696,-312,1376,1,7,11
1.00E+03,-6571,2512,-3703,-2897,-177,743,1,7,11
9.49E+02,-6544,2213,-3287,-3262,-153,403,1,7,11
9.13E+02,-6539,1962,-3407,-3479,-315,227,1,7,11
9.11E+02,-6752,2075,-3059,-3684,53,161,1,7,11
9.37E+02,-6710,1741,-3007,-3234,-26,151,1,7,11
9.76E+02,-6688,1778,-2983,-3174,198,169,1,7,11
1.01E+03,-6726,2050,-2953,-2745,636,171,1,7,11
1.03E+03,-6784,1699,-3114,-2870,490,194,1,7,11
1.03E+03,-6587,1889,-2783,-2563,793,136,1,7,11
1.01E+03,-6602,1701,-2777,-2101,795,337,1,7,11
9.88E+02,-6566,2114,-3096,-1416,780,288,1,7,11
9.65E+02,-6784,2041,-3168,-1373,778,-15,1,7,11
9.43E+02,-6540,2197,-2966,-988,784,-67,1,7,11
9.22E+02,-6567,2232,-2977,-1022,486,-102,1,7,11
9.05E+02,-6579,2235,-2962,-1300,426,118,1,7,11
8.92E+02,-6531,2581,-3005,-983,541,85,1,7,11
8.89E+02,-6739,2653,-3002,-990,244,78,1,7,11
8.99E+02,-6733,2597,-2974,-1295,240,80,1,7,11
9.28E+02,-6718,2283,-3179,-1297,204,97,1,7,11
9.73E+02,-6699,2256,-3166,-1095,184,72,1,7,11
1.03E+03,-6683,2285,-3178,-742,189,47,1,7,11
1.07E+03,-6662,2605,-2956,-777,187,17,1,7,11
1.11E+03,-6371,2657,-2987,-484,191,17,1,7,11
