timestamp,ax,ay,az,gx,gy,gz,Label1,Label2,Label3
1.04E+03,-4400,5899,-2705,-324,-94,-343,1,7,11
1.05E+03,-4370,5620,-2709,-304,111,-278,1,7,11
1.05E+03,-4070,5617,-2739,-275,100,2,1,7,11
1.04E+03,-4043,5610,-2760,-270,-124,-262,1,7,11
1.01E+03,-4065,5600,-2762,-278,-67,-279,1,7,11
9.77E+02,-4089,5599,-2754,-274,-32,-258,1,7,11
9.40E+02,-4075,5593,-2757,-276,-24,40,1,7,11
9.12E+02,-4074,5594,-2754,-266,-14,53,1,7,11
9.00E+02,-4047,5596,-2773,-262,-13,86,1,7,11
9.00E+02,-4029,5609,-2772,-258,266,95,1,7,11
9.11E+02,-4028,5615,-2776,2,291,107,1,7,11
9.28E+02,-4039,5620,-2756,-262,306,96,1,7,11
9.49E+02,-4071,5620,-2737,-257,296,88,1,7,11
9.71E+02,-4054,5600,-2753,18,-5,106,1,7,11
9.91E+02,-4035,5590,-2780,44,-23,106,1,7,11
1.01E+03,-4008,5600,-3086,82,-1,112,1,7,11
1.02E+03,-3985,5601,-3131,84,297,118,1,7,11
1.03E+03,-3984,5600,-3147,83,355,107,1,7,11
1.03E+03,-4025,5611,-3153,103,147,75,1,7,11
1.04E+03,-4083,5924,-3158,-121,147,67,1,7,11
1.05E+03,-4371,5950,-3152,-113,346,97,1,7,11
1.05E+03,-4365,5952,-3139,121,270,-102,1,7,11
1.05E+03,-4074,5928,-3121,92,-58,-71,1,7,11
1.03E+03,-4051,5889,-3087,57,-121,-66,1,7,11
9.98E+02,-4031,5586,-3074,33,125,-66,1,7,11
9.60E+02,-3984,5559,-3084,23,-113,-70,1,7,11
9.24E+02,-4190,5561,-3117,29,-52,-97,1,7,11
8.99E+02,-4180,5588,-3137,20,303,100,1,7,11
8.87E+02,-4215,5618,-3149,-257,381,57,1,7,11
8.86E+02,-3990,5902,-3139,-285,155,25,1,7,11
8.93E+02,-4021,5930,-3132,-290,141,-262,1,7,11
9.04E+02,-4032,5953,-3137,-293,348,-274,1,7,11
9.19E+02,-4045,5966,-3133,-294,295,-288,1,7,11
9.37E+02,-4042,5957,-3134,-293,-19,-283,1,7,11
9.56E+02,-4023,5939,-3137,-296,-70,-278,1,7,11
9.75E+02,-3977,5918,-3149,-307,-101,-275,1,7,11
9.91E+02,-4223,5626,-3165,-341,-86,-307,1,7,11
1.00E+03,-3991,5586,-3185,-131,261,-343,1,7,11
1.01E+03,-4012,5605,-3183,-383,287,-359,1,7,11
1.01E+03,-4013,5896,-3197,-381,292,-369,1,7,11
9.97E+02,-4008,5927,-2955,-139,292,-134,1,7,11
9.84E+02,-4004,5946,-2969,-167,292,-181,1,7,11
9.68E+02,-4018,5978,-2973,-195,292,-251,1,7,11
9.52E+02,-4048,5988,-2961,-250,271,-581,1,7,11
9.41E+02,-4354,5965,-3198,-569,-25,-638,1,7,11
9.37E+02,-4386,5926,-3176,-601,-96,-408,1,7,11
9.45E+02,-4374,5629,-3155,-609,84,-413,1,7,11
9.63E+02,-4365,5576,-3132,-592,41,-423,1,7,11
9.87E+02,-4361,5532,-3120,-559,21,-439,1,7,11
1.01E+03,-4381,5749,-3102,-518,18,-467,1,7,11
1.03E+03,-4401,5722,-3107,-195,9,-468,1,7,11
1.04E+03,-4435,5708,-3118,-141,-262,-463,1,7,11
1.05E+03,-4435,5697,-3136,-346,-295,-408,1,7,11
1.04E+03,-4400,5687,-3164,-314,-322,-617,1,7,11
1.03E+03,-4380,5683,-3175,-301,-310,-611,1,7,11
1.01E+03,-4383,5706,-3190,-300,-283,-621,1,7,11
9.93E+02,-4456,5726,-3185,-326,-267,-385,1,7,11
9.71E+02,-4469,5741,-3192,-344,-287,-629,1,7,11
9.52E+02,-4293,5512,-3180,-349,-306,-459,1,7,11
9.38E+02,-4609,5563,-3183,-342,-345,-496,1,7,11
9.30E+02,-4651,5611,-3168,-318,-200,-817,1,7,11
9.29E+02,-4720,5893,-3124,-317,-542,-653,1,7,11
9.36E+02,-4505,5631,-2816,-317,-603,-767,1,7,11
9.50E+02,-4588,5623,-2762,-305,-568,-925,1,7,11
