timestamp,ax,ay,az,gx,gy,gz,Label1,Label2,Label3
9.50E+02,-6370,-3168,4227,380,169,-69,1,7,11
9.50E+02,-6382,-3123,4472,277,209,-60,1,7,11
9.50E+02,-6681,-3133,4473,-114,250,-21,1,7,11
9.50E+02,-6375,-3149,4230,-346,517,310,1,7,11
9.50E+02,-6663,-3180,4275,-591,559,249,1,7,11
9.50E+02,-6399,-3003,4619,-805,570,-86,1,7,11
9.50E+02,-6718,-3011,4643,-825,592,116,1,7,11
9.50E+02,-6768,-3034,4670,-439,400,-306,1,7,11
9.50E+02,-6536,-3056,4661,-238,421,-351,1,7,11
9.50E+02,-6574,-3368,4654,6,498,-223,1,7,11
9.50E+02,-6560,-3418,4627,97,496,-530,1,7,11
9.50E+02,-6576,-3431,4289,553,454,-579,1,7,11
9.50E+02,-6543,-3391,4228,617,422,-610,1,7,11
9.50E+02,-6594,-3375,4479,391,442,-401,1,7,11
9.50E+02,-6615,-3379,4456,472,443,-629,1,7,11
9.50E+02,-6587,-3374,4442,502,424,-584,1,7,11
9.50E+02,-6565,-3385,4427,777,413,-566,1,7,11
9.50E+02,-6554,-3371,4385,786,404,-540,1,7,11
9.50E+02,-6548,-3365,4373,452,386,-256,1,7,11
9.50E+02,-6557,-3368,4377,576,569,-248,1,7,11
9.51E+02,-6555,-3363,4377,191,210,-243,1,7,11
9.51E+02,-6552,-3371,4408,312,359,-232,1,7,11
9.51E+02,-6569,-3364,4424,-13,287,-196,1,7,11
9.51E+02,-6570,-3352,4423,-76,-54,-370,1,7,11
9.50E+02,-6755,-3364,4462,92,100,-285,1,7,11
9.49E+02,-6723,-3368,4238,56,62,-261,1,7,11
9.48E+02,-6716,-3348,4264,23,26,-260,1,7,11
9.47E+02,-6736,-3332,4292,-286,16,-271,1,7,11
9.46E+02,-6544,-3330,4309,-345,15,-280,1,7,11
9.47E+02,-6582,-3064,4311,-160,-269,28,1,7,11
9.50E+02,-6619,-3055,4321,-255,-272,102,1,7,11
9.55E+02,-6923,-3060,4619,-617,-284,-70,1,7,11
9.58E+02,-6944,-3067,4644,-412,-305,273,1,7,11
9.56E+02,-6957,-3069,4675,-421,-292,329,1,7,11
9.44E+02,-6996,-3064,4668,-636,22,354,1,7,11
9.20E+02,-7025,-3057,4668,-576,97,364,1,7,11
8.87E+02,-6823,-3043,4627,-174,-22,343,1,7,11
8.48E+02,-7183,-3191,4248,-257,132,331,1,7,11
8.07E+02,-7183,-3189,4246,-275,228,354,1,7,11
7.67E+02,-7209,-3141,4368,46,550,352,1,7,11
7.30E+02,-7176,-3093,4049,-300,543,320,1,7,11
7.00E+02,-6905,-3094,4064,-367,570,-47,1,7,11
6.73E+02,-7183,-3129,4045,-154,226,117,1,7,11
6.48E+02,-6893,-3141,4019,-147,324,24,1,7,11
6.25E+02,-7184,-3129,3996,-156,-37,-335,1,7,11
6.03E+02,-6902,-2950,4079,-332,-107,-355,1,7,11
5.90E+02,-7283,-3102,4138,26,114,-303,1,7,11
5.90E+02,-6899,-3010,4017,-523,-309,42,1,7,11
6.07E+02,-6859,-3061,4065,-623,-384,-292,1,7,11
6.33E+02,-6895,-3369,4373,-442,-176,-129,1,7,11
6.55E+02,-6900,-3375,4367,-463,-207,-130,1,7,11
6.72E+02,-6861,-3381,4083,-512,-206,-324,1,7,11
6.93E+02,-6831,-3409,4066,-795,-148,-272,1,7,11
7.22E+02,-6793,-3407,4019,-492,-314,35,1,7,11
7.50E+02,-7034,-3394,3978,-449,72,69,1,7,11
7.67E+02,-6788,-3372,4187,-423,-52,101,1,7,11
7.75E+02,-6790,-3349,4144,-418,290,-121,1,7,11
7.76E+02,-6797,-3347,4118,-433,352,-109,1,7,11
7.75E+02,-6821,-3354,3837,-438,382,-106,1,7,11
7.72E+02,-6837,-3358,3833,-447,130,-115,1,7,11
7.72E+02,-6846,-3367,3818,-448,365,126,1,7,11
7.74E+02,-6852,-3391,3815,-445,332,100,1,7,11
7.76E+02,-6844,-3406,3816,-408,284,85,1,7,11
7.74E+02,-6833,-3415,3837,-632,-39,60,1,7,11
7.67E+02,-6835,-3433,4135,-620,-94,28,1,7,11
7.55E+02,-6839,-3436,4174,-529,97,2,1,7,11
7.39E+02,-6852,-3425,4185,-192,9,10,1,7,11
7.20E+02,-6787,-3437,3970,-379,-331,43,1,7,11
7.06E+02,-6795,-3429,3980,-324,-356,52,1,7,11
7.01E+02,-7034,-3420,3972,-304,-132,92,1,7,11
7.03E+02,-7030,-3424,3968,-346,-380,-97,1,7,11
7.05E+02,-7022,-3425,3979,-193,-367,272,1,7,11
6.98E+02,-6965,-3451,4053,-602,-355,146,1,7,11
6.84E+02,-6646,-3219,4379,-450,-296,226,1,7,11
6.68E+02,-6576,-3453,4394,-504,33,225,1,7,11
6.55E+02,-6534,-3428,4376,-790,-53,171,1,7,11
6.47E+02,-6570,-3429,4372,-803,149,371,1,7,11
6.46E+02,-6961,-3221,4479,-553,395,323,1,7,11
6.51E+02,-6960,-3216,4460,38,416,283,1,7,11
6.59E+02,-7009,-3435,4415,360,463,-39,1,7,11
6.67E+02,-6822,-3430,4403,384,508,-110,1,7,11
6.71E+02,-6901,-3412,4382,675,789,98,1,7,11
6.69E+02,-7244,-3371,4088,923,784,95,1,7,11
6.59E+02,-7045,-3335,4027,1337,465,122,1,7,11
6.48E+02,-7053,-2999,4217,1372,637,-81,1,7,11
6.41E+02,-7284,-3187,4136,1285,570,-23,1,7,11
6.40E+02,-7253,-3092,4131,1144,543,277,1,7,11
6.45E+02,-7250,-2811,4129,758,555,328,1,7,11
6.56E+02,-7217,-2735,4110,684,589,140,1,7,11
6.68E+02,-7265,-2924,3785,888,399,221,1,7,11
6.75E+02,-7248,-2843,3955,387,633,558,1,7,11
6.74E+02,-7206,-2820,3940,343,395,601,1,7,11
6.67E+02,-7228,-2826,3945,83,452,561,1,7,11
6.55E+02,-7130,-2532,3934,-151,774,207,1,7,11
6.41E+02,-7486,-2545,3966,-385,489,176,1,7,11
6.31E+02,-7532,-2822,3717,-793,448,175,1,7,11
6.29E+02,-7545,-2828,3957,-857,401,180,1,7,11
6.33E+02,-7505,-2817,3943,-866,613,167,1,7,11
6.39E+02,-7464,-2555,3940,-835,599,365,1,7,11
6.44E+02,-7460,-2826,3944,-476,534,-69,1,7,11
6.39E+02,-7165,-2817,3924,-389,157,50,1,7,11
6.23E+02,-7089,-2831,3918,-576,286,-341,1,7,11
6.06E+02,-7251,-2848,3923,-210,-83,-218,1,7,11
6.02E+02,-6900,-2869,3930,-315,104,-622,1,7,11
6.09E+02,-6855,-2886,3932,99,82,-781,1,7,11
6.13E+02,-6800,-2934,3713,-8,78,-648,1,7,11
6.06E+02,-6802,-2731,3712,356,82,-754,1,7,11
5.95E+02,-6999,-2800,3752,155,35,-1066,1,7,11
5.93E+02,-7015,-3111,3790,223,51,-901,1,7,11
5.97E+02,-6835,-3168,3835,534,46,-954,1,7,11
6.01E+02,-6857,-2974,4141,594,5,-951,1,7,11
6.02E+02,-6908,-3021,4194,395,-259,-933,1,7,11
6.03E+02,-7234,-3331,4008,450,-276,-1113,1,7,11
6.09E+02,-7248,-3369,4045,789,-293,-741,1,7,11
6.14E+02,-7279,-3363,4045,853,-266,-858,1,7,11
6.11E+02,-7287,-3364,4074,840,18,-419,1,7,11
6.00E+02,-7277,-3352,4090,805,66,-232,1,7,11
5.94E+02,-7270,-3060,4359,776,-127,-301,1,7,11
6.00E+02,-7253,-3022,4080,481,-63,-126,1,7,11
6.11E+02,-7264,-2962,4040,393,264,268,1,7,11
6.20E+02,-7264,-3157,4014,515,322,129,1,7,11
6.26E+02,-7190,-3096,4034,354,182,144,1,7,11
6.34E+02,-7197,-2766,3997,-6,332,339,1,7,11
6.48E+02,-6882,-2926,4131,-51,365,583,1,7,11
6.63E+02,-7253,-2908,4137,-65,153,518,1,7,11
6.77E+02,-6871,-2864,4100,-166,290,535,1,7,11
6.85E+02,-6792,-2823,3795,-545,256,226,1,7,11
6.90E+02,-7010,-2555,3802,-395,-33,153,1,7,11
6.91E+02,-7034,-2543,3786,-450,-36,332,1,7,11
6.92E+02,-6862,-2557,3801,-778,-24,266,1,7,11
6.99E+02,-7230,-2843,3825,-829,-40,-25,1,7,11
7.16E+02,-7273,-2858,4096,-866,-115,-2,1,7,11
7.37E+02,-7065,-2879,4120,-647,100,267,1,7,11
7.55E+02,-7140,-2915,4149,-683,68,276,1,7,11
7.63E+02,-7451,-2701,4169,-711,38,289,1,7,11
7.64E+02,-7524,-2755,4189,-742,24,289,1,7,11
7.63E+02,-7322,-2815,3986,-1027,4,292,1,7,11
7.67E+02,-7372,-3129,4019,-762,-261,294,1,7,11
7.73E+02,-7395,-3173,4049,-733,-261,308,1,7,11
7.77E+02,-7380,-2950,4048,-667,33,330,1,7,11
7.75E+02,-7330,-2947,3991,-841,101,363,1,7,11
7.66E+02,-7503,-3182,4191,-797,-46,133,1,7,11
7.53E+02,-7164,-3177,4148,-791,338,140,1,7,11
7.39E+02,-7280,-3186,4115,-776,184,377,1,7,11
7.27E+02,-7175,-3184,3792,-770,533,304,1,7,11
7.24E+02,-6836,-3188,3733,-799,589,-50,1,7,11
7.33E+02,-7019,-3200,3954,-844,611,101,1,7,11
7.48E+02,-7015,-2957,3911,-842,390,4,1,7,11
7.57E+02,-7026,-2968,3896,-820,390,-301,1,7,11
7.51E+02,-7032,-2996,3895,-796,610,-308,1,7,11
7.36E+02,-6799,-3028,3869,-499,521,-301,1,7,11
7.28E+02,-6794,-3027,3542,-488,131,-265,1,7,11
7.42E+02,-7011,-3041,3526,-782,272,24,1,7,11
7.67E+02,-7031,-3067,3522,-800,-34,24,1,7,11
7.86E+02,-7036,-3069,3935,-512,-110,57,1,7,11
7.84E+02,-6909,-3339,3508,-168,264,126,1,7,11
7.65E+02,-6880,-3363,3469,-215,101,288,1,7,11
7.45E+02,-6834,-3350,3691,-564,-261,376,1,7,11
7.40E+02,-6813,-3352,3467,-468,-340,141,1,7,11
7.52E+02,-6808,-3350,3489,-819,-152,153,1,7,11
7.73E+02,-6799,-3341,3524,-662,-198,172,1,7,11
7.95E+02,-7033,-3378,3563,-749,-242,210,1,7,11
8.15E+02,-7008,-3378,3571,-765,-546,236,1,7,11
8.30E+02,-6989,-3360,3572,-751,-600,234,1,7,11
8.38E+02,-6952,-3350,3579,-760,-416,234,1,7,11
8.39E+02,-6926,-3334,3563,-758,-444,231,1,7,11
8.34E+02,-6935,-3060,3545,-751,-444,234,1,7,11
8.25E+02,-6969,-3055,3542,-747,-428,237,1,7,11
8.13E+02,-7037,-3332,3564,-777,-422,222,1,7,11
