timestamp,ax,ay,az,gx,gy,gz,Label1,Label2,Label3
1.27E+00,-8485,-260,1012,2448,-1113,-460,1,7,11
1.52E+00,-8177,-277,1294,2571,-1085,-418,1,7,11
1.77E+00,-8138,10,1344,2198,-1030,-601,1,7,11
2.02E+00,-8084,-266,1344,2317,-681,-227,1,7,11
2.27E+00,-8136,-338,1405,1968,-813,-171,1,7,11
2.52E+00,-8172,-331,1179,1981,-488,-145,1,7,11
2.77E+00,-8456,-330,1224,1979,-413,-331,1,7,11
3.02E+00,-8469,-326,1253,1980,-631,-278,1,7,11
3.27E+00,-8184,-301,1243,1959,-612,30,1,7,11
3.52E+00,-8183,-281,1273,2151,-567,71,1,7,11
3.77E+00,-8521,-266,1579,2052,-525,-107,1,7,11
4.02E+00,-8492,-282,1603,1893,-553,-59,1,7,11
4.27E+00,-8493,-268,1615,1524,-553,-40,1,7,11
4.52E+00,-8507,-267,1650,1423,-563,-11,1,7,11
4.77E+00,-8464,37,1648,1598,-602,-1,1,7,11
5.02E+00,-8456,96,1409,1196,-590,306,1,7,11
5.27E+00,-8484,-121,1444,996,-554,135,1,7,11
5.52E+00,-8519,125,1503,762,-545,250,1,7,11
5.77E+00,-8506,114,1805,808,-571,606,1,7,11
6.02E+00,-8486,120,1849,626,-610,413,1,7,11
6.27E+00,-8462,122,1891,202,-386,459,1,7,11
6.52E+00,-8467,-83,1670,290,-409,771,1,7,11
6.77E+00,-8480,-71,1701,51,-433,646,1,7,11
7.02E+00,-8454,51,1771,-253,-465,741,1,7,11
7.27E+00,-8167,-309,2095,-418,-785,679,1,7,11
7.52E+00,-8120,11,2092,-639,-855,827,1,7,11
7.77E+00,-8116,0,2145,-569,-844,475,1,7,11
8.02E+00,-8157,-325,1984,-180,-845,579,1,7,11
8.27E+00,-8453,-343,2024,60,-686,145,1,7,11
8.52E+00,-8473,-356,2305,316,-1054,-35,1,7,11
8.77E+00,-8184,-290,2023,597,-918,80,1,7,11
9.02E+00,-8186,100,1952,830,-974,48,1,7,11
9.27E+00,-8168,-35,2156,684,-962,-99,1,7,11
9.52E+00,-8192,-9,2159,725,-915,290,1,7,11
9.77E+00,-8189,317,2161,1058,-899,137,1,7,11
1.00E+01,-8114,237,2146,1106,-1136,533,1,7,11
1.03E+01,-8534,515,1937,705,-750,486,1,7,11
1.05E+01,-8514,568,1953,690,-1071,894,1,7,11
1.08E+01,-8518,538,1999,820,-1104,693,1,7,11
1.10E+01,-8186,575,2025,457,-941,659,1,7,11
1.13E+01,-8153,402,2316,562,-1001,847,1,7,11
1.15E+01,-8148,494,2318,319,-1302,818,1,7,11
1.18E+01,-8078,511,2331,-289,-1351,793,1,7,11
1.20E+01,-7927,440,2386,-490,-1339,438,1,7,11
1.23E+01,-7830,561,2234,-915,-1024,178,1,7,11
1.25E+01,-8000,199,2587,-1195,-986,37,1,7,11
1.28E+01,-7977,224,2643,-1571,-912,-605,1,7,11
1.30E+01,-7984,205,2439,-1420,-1026,-828,1,7,11
1.33E+01,-7978,169,2489,-1448,-833,-895,1,7,11
1.35E+01,-7953,381,2513,-1631,-579,-843,1,7,11
1.38E+01,-7957,333,2518,-1223,-261,-459,1,7,11
1.40E+01,-7618,377,2477,-975,320,-523,1,7,11
1.43E+01,-8044,335,2460,-1092,773,21,1,7,11
1.45E+01,-8044,321,2652,-837,1053,-11,1,7,11
1.48E+01,-7834,301,2591,-413,1354,129,1,7,11
1.50E+01,-8201,291,2574,-545,1596,196,1,7,11
1.53E+01,-8263,304,2265,-175,1476,195,1,7,11
1.55E+01,-8119,305,2259,-153,1807,168,1,7,11
1.58E+01,-8458,298,2266,-152,1501,356,1,7,11
1.60E+01,-8525,334,2217,-131,1626,259,1,7,11
1.63E+01,-8329,131,2421,-132,1211,-53,1,7,11
1.65E+01,-8362,131,2362,-150,1285,-85,1,7,11
1.68E+01,-8344,150,2315,-159,1090,-110,1,7,11
1.70E+01,-8344,156,2013,-190,668,-117,1,7,11
1.73E+01,-8571,131,1986,-189,486,117,1,7,11
1.75E+01,-8516,380,1927,-151,572,58,1,7,11
1.78E+01,-8523,382,2167,-359,199,28,1,7,11
1.80E+01,-8507,376,2141,-283,340,4,1,7,11
