timestamp,ax,ay,az,gx,gy,gz,Label1,Label2,Label3
9.65E+02,-7676,-1769,2387,448,54,-1057,1,7,11
9.44E+02,-7665,-2057,2320,454,-113,-1131,1,7,11
9.25E+02,-7677,-2078,2005,457,-25,-1147,1,7,11
9.13E+02,-7987,-2115,1979,439,323,-1115,1,7,11
9.10E+02,-7839,-2162,1981,427,134,-1035,1,7,11
9.14E+02,-8206,-1926,1984,448,142,-651,1,7,11
9.19E+02,-8271,-1925,1977,462,356,-505,1,7,11
9.22E+02,-8303,-2150,1971,458,293,-611,1,7,11
9.22E+02,-8111,-2126,2011,413,-28,-221,1,7,11
9.23E+02,-8140,-2068,2318,384,115,-323,1,7,11
9.26E+02,-8132,-1721,2363,601,-260,76,1,7,11
9.33E+02,-8117,-1884,2176,555,-362,-33,1,7,11
9.43E+02,-8077,-1803,2269,235,-210,356,1,7,11
9.51E+02,-8274,-1501,2638,161,-556,195,1,7,11
9.52E+02,-7909,-1483,2456,376,-395,248,1,7,11
9.45E+02,-8004,-1490,2494,355,-450,217,1,7,11
9.32E+02,-7650,-1795,2553,333,-417,342,1,7,11
9.15E+02,-7610,-1859,2842,350,-607,-95,1,7,11
8.98E+02,-7807,-1676,2819,132,-556,-303,1,7,11
8.82E+02,-7570,-1778,2526,164,-207,-537,1,7,11
8.68E+02,-7631,-2121,2487,235,-370,-457,1,7,11
8.56E+02,-7665,-2163,2676,596,-297,-809,1,7,11
8.47E+02,-7949,-2173,2604,435,36,-845,1,7,11
8.42E+02,-7967,-2168,2274,509,-121,-815,1,7,11
8.44E+02,-8010,-2141,2211,814,-10,-482,1,7,11
8.53E+02,-8027,-2070,2420,837,346,-631,1,7,11
8.71E+02,-8058,-1704,2402,819,184,-515,1,7,11
8.93E+02,-7854,-1867,2415,487,515,-384,1,7,11
9.18E+02,-8195,-1824,2254,626,543,1,1,7,11
9.43E+02,-8243,-1532,2587,564,223,-120,1,7,11
9.64E+02,-8257,-1470,2626,525,383,-36,1,7,11
9.77E+02,-8263,-1422,2652,211,286,266,1,7,11
9.78E+02,-8194,-1639,2642,145,-65,289,1,7,11
9.64E+02,-7866,-1608,2616,303,-97,260,1,7,11
9.44E+02,-7839,-1631,2595,-75,-75,-56,1,7,11
9.25E+02,-8045,-1427,2300,66,-51,123,1,7,11
9.16E+02,-8024,-1525,2269,-306,-5,2,1,7,11
9.21E+02,-7817,-1892,2257,-378,299,-130,1,7,11
