timestamp,ax,ay,az,gx,gy,gz,Label1,Label2,Label3
1.08E+00,-5757,4670,-2217,-748,198,-567,1,7,11
1.33E+00,-5575,4525,-2243,-992,550,-545,1,7,11
1.58E+00,-5611,4582,-2272,-1570,638,-214,1,7,11
1.83E+00,-5992,4550,-2275,-1900,439,-368,1,7,11
2.08E+00,-5786,4678,-2243,-2107,431,-278,1,7,11
2.33E+00,-5853,4642,-2246,-1750,452,-335,1,7,11
2.58E+00,-5867,4686,-2274,-1508,447,-151,1,7,11
2.83E+00,-6158,4700,-2292,-1542,469,-228,1,7,11
3.08E+00,-6208,4642,-2276,-1309,510,-250,1,7,11
3.33E+00,-6166,4295,-2281,-1061,768,-215,1,7,11
3.58E+00,-5874,4228,-2302,-819,486,-215,1,7,11
3.83E+00,-5878,4417,-2276,-571,427,-185,1,7,11
4.08E+00,-6155,4457,-2284,-284,600,-144,1,7,11
4.33E+00,-6218,4446,-2213,43,178,-274,1,7,11
4.58E+00,-5786,4473,-2200,-55,-40,258,1,7,11
4.83E+00,-5806,4402,-2385,-61,97,375,1,7,11
5.08E+00,-5798,4003,-2309,340,-354,530,1,7,11
5.33E+00,-5919,4081,-1993,484,-563,616,1,7,11
5.58E+00,-5512,4611,-2432,1120,-385,390,1,7,11
5.83E+00,-5690,4658,-2197,1113,-629,502,1,7,11
6.08E+00,-5302,4347,-2178,922,-237,493,1,7,11
6.33E+00,-5655,4687,-2208,1333,-280,610,1,7,11
6.58E+00,-5669,4496,-2244,1338,52,638,1,7,11
6.83E+00,-5666,4509,-2283,1302,124,385,1,7,11
7.08E+00,-5699,4607,-2591,1307,-83,566,1,7,11
7.33E+00,-5668,4969,-2669,1290,-61,526,1,7,11
7.58E+00,-5587,4770,-2446,920,-10,157,1,7,11
7.83E+00,-5931,4809,-2501,1050,-7,192,1,7,11
8.08E+00,-5762,4817,-2541,665,-89,219,1,7,11
8.33E+00,-5833,4793,-2554,699,115,242,1,7,11
8.58E+00,-5887,4750,-2820,554,90,519,1,7,11
8.83E+00,-6207,4920,-2535,374,61,547,1,7,11
9.08E+00,-6188,4507,-2436,-39,-259,610,1,7,11
9.33E+00,-5794,4676,-2637,-36,-300,389,1,7,11
9.58E+00,-5931,4345,-2568,-124,-323,627,1,7,11
9.83E+00,-5533,4473,-2211,40,-307,636,1,7,11
1.01E+01,-5755,4391,-2378,-269,36,400,1,7,11
1.03E+01,-5512,3998,-2004,-350,70,823,1,7,11
1.06E+01,-5335,3768,-2130,-356,34,916,1,7,11
1.08E+01,-5381,3715,-2106,260,117,1014,1,7,11
1.11E+01,-5024,4208,-1988,511,270,940,1,7,11
1.13E+01,-5015,4226,-2394,1049,236,1100,1,7,11
1.16E+01,-5094,4704,-2270,920,388,1055,1,7,11
1.18E+01,-5064,4555,-2662,1014,446,1055,1,7,11
1.21E+01,-5024,4957,-2842,1223,782,892,1,7,11
1.23E+01,-4994,5238,-2808,1484,845,578,1,7,11
1.26E+01,-4995,5278,-3047,1534,644,-15,1,7,11
1.28E+01,-5469,5699,-3203,1605,704,-319,1,7,11
1.31E+01,-5648,5755,-3316,1299,887,-160,1,7,11
1.33E+01,-5759,5679,-3621,671,486,-186,1,7,11
1.36E+01,-5576,5319,-3659,591,578,-204,1,7,11
1.38E+01,-5594,5434,-3630,-10,164,-196,1,7,11
1.41E+01,-5626,5158,-3224,-331,309,-210,1,7,11
1.43E+01,-5609,4803,-3336,-614,-77,-177,1,7,11
1.46E+01,-5517,4483,-3164,-866,26,-384,1,7,11
1.48E+01,-5653,4323,-2753,-730,-328,-146,1,7,11
1.51E+01,-5333,4428,-2861,-1025,-353,-186,1,7,11
1.53E+01,-5496,4385,-2556,-700,-366,-376,1,7,11
1.56E+01,-5408,4095,-2537,-881,-317,-277,1,7,11
1.58E+01,-5088,4073,-2522,-848,76,40,1,7,11
1.61E+01,-5090,4352,-2518,-442,-17,51,1,7,11
1.63E+01,-5090,4407,-2538,-550,376,82,1,7,11
1.66E+01,-5117,4254,-2862,-143,241,76,1,7,11
1.68E+01,-5419,4618,-2932,-305,588,124,1,7,11
1.71E+01,-5445,4721,-2745,-278,639,-54,1,7,11
1.73E+01,-5441,4512,-2800,-306,417,309,1,7,11
1.76E+01,-5398,4587,-3143,-274,465,355,1,7,11
1.78E+01,-5398,4985,-2986,4,788,295,1,7,11
1.81E+01,-5441,4842,-3053,-342,843,-43,1,7,11
1.83E+01,-5296,5153,-3059,-518,837,-89,1,7,11
1.86E+01,-5310,4833,-3014,-469,462,-46,1,7,11
1.88E+01,-5296,4919,-3170,-847,612,-40,1,7,11
1.91E+01,-5272,4596,-3121,-771,521,-75,1,7,11
1.93E+01,-5499,4594,-3120,-436,184,-69,1,7,11
1.96E+01,-5427,4544,-3108,-411,129,-14,1,7,11
